date,datetime,open_price,high_price,low_price,close_price,volume_btc,volume_usdt,trade_count,taker_buy_volume_btc,taker_buy_volume_usdt,price_change,price_change_abs,high_low_ratio,volume_ratio,ma_7,ma_30,ma_90
2024-12-26,2024-12-26 00:00:00+00:00,99429.61,99963.7,95199.14,95791.6,21192.36727,2049123567.3867724,5203490,10071.87249,973940616.1292444,,,1.0500483512771228,0.47529618595490636,,,
2024-12-27,2024-12-27 00:00:00+00:00,95791.6,97544.58,93500.01,94299.03,26501.26429,2528567849.7794614,5718866,12945.51657,1235623739.0578184,-0.01558142885179914,-1492.570000000007,1.0432574285286174,0.4886654471880547,,,
2024-12-28,2024-12-28 00:00:00+00:00,94299.03,95733.99,94135.66,95300.0,8385.8929,794651624.8349556,2732061,4203.59876,398416342.12816703,0.01061484937862045,1000.9700000000012,1.016979006680359,0.5013723368537952,,,
2024-12-29,2024-12-29 00:00:00+00:00,95300.0,95340.0,93009.52,93738.2,13576.00578,1278370863.9768472,2865838,5651.38589,532195414.1027413,-0.01638824763903468,-1561.800000000003,1.0250563598220912,0.41630752788525693,,,
2024-12-30,2024-12-30 00:00:00+00:00,93738.19,95024.5,91530.45,92792.05,27619.4225,2573126059.769478,5560563,13092.19646,1220209278.2523272,-0.010093537106537043,-946.1499999999942,1.0381736351126867,0.47421278627975333,,,
2024-12-31,2024-12-31 00:00:00+00:00,92792.05,96250.0,92033.73,93576.0,19612.03389,1845718801.922704,3347847,9687.96775,911716321.6054019,0.008448460832582105,783.9499999999971,1.0458122255829467,0.4939627426754594,,,
2025-01-01,2025-01-01 00:00:00+00:00,93576.0,95151.15,92888.0,94591.79,10373.32613,975444194.1379983,1516556,5347.73648,502914035.6405907,0.010855240659998211,1015.7899999999936,1.0243642881750064,0.515574380023879,94298.38142857143,,
2025-01-02,2025-01-02 00:00:00+00:00,94591.78,97839.5,94392.0,96984.79,21970.48948,2118411852.6812797,3569079,10915.96986,1052226710.3336716,0.025298178626284695,2393.0,1.0365232223069751,0.49670544894368174,94468.83714285714,,
2025-01-03,2025-01-03 00:00:00+00:00,96984.79,98976.91,96100.01,98174.18,15253.82936,1486610768.5907917,2851164,7468.60797,727787246.8965588,0.012263675572221189,1189.3899999999994,1.0299365213385514,0.48956139850006114,95022.43000000001,,
2025-01-04,2025-01-04 00:00:00+00:00,98174.17,98778.43,97514.79,98220.5,8990.05651,881223751.6353604,1559982,4350.80221,426524714.1305539,0.0004718144831972193,46.320000000006985,1.0129584445600508,0.4840140921519835,95439.64428571428,,
2025-01-05,2025-01-05 00:00:00+00:00,98220.51,98836.85,97276.79,98363.61,8095.63723,793931715.9546323,1685799,3877.90985,380355340.4686036,0.0014570278098766654,143.11000000000058,1.0160373301791723,0.4790781534798117,96100.41714285714,,
2025-01-06,2025-01-06 00:00:00+00:00,98363.61,102480.0,97920.0,102235.6,25263.43375,2540561688.7771435,3853702,12539.59534,1260943259.4662561,0.039364049367443865,3871.9900000000052,1.0465686274509804,0.4963245982321295,97449.49571428572,,
2025-01-07,2025-01-07 00:00:00+00:00,102235.6,102724.38,96181.81,96954.61,32059.87537,3170421659.717236,4480562,14815.11453,1464336049.7055345,-0.05165509861535522,-5280.990000000005,1.0680229452949577,0.46187422585175497,97932.15428571428,,
2025-01-08,2025-01-08 00:00:00+00:00,96954.6,97268.65,92500.9,95060.61,33704.67894,3205849081.112962,5171208,15803.85091,1503791328.6993084,-0.01953491432743626,-1894.0,1.0515427417462966,0.4690773928064147,97999.12857142856,,
2025-01-09,2025-01-09 00:00:00+00:00,95060.61,95382.32,91203.67,92552.49,34544.83685,3217669887.2453976,6027161,15323.62663,1427812152.272761,-0.026384429891623817,-2508.1199999999953,1.0458166869820043,0.44374103071682447,97365.94285714287,,
2025-01-10,2025-01-10 00:00:00+00:00,92552.49,95836.0,92206.02,94726.11,31482.86424,2962085343.283704,5531444,15617.43823,1469711545.6571271,0.02348526765730452,2173.6199999999953,1.039368145377059,0.4961746119130506,96873.36142857143,,
2025-01-11,2025-01-11 00:00:00+00:00,94726.1,95050.94,93831.73,94599.99,7047.9043,665685994.93301,1496191,3412.37671,322346977.43545526,-0.0013314174940783907,-126.11999999999534,1.0129935790377094,0.48423277624744687,96356.14571428571,,
2025-01-12,2025-01-12 00:00:00+00:00,94599.99,95450.1,93711.19,94545.06,8606.86622,813278829.6583949,1658863,4028.33031,380691769.9184427,-0.0005806554525006336,-54.93000000000757,1.018556055045294,0.4680950198572688,95810.63857142857,,
2025-01-13,2025-01-13 00:00:00+00:00,94545.07,95940.0,89256.69,94536.1,42619.56423,3930666134.3474574,5740963,19473.88042,1797888178.849608,-9.476962625010188e-05,-8.959999999991851,1.0748774125502525,0.457400378815964,94710.70999999999,,
2025-01-14,2025-01-14 00:00:00+00:00,94536.11,97371.0,94346.22,96560.86,27846.61753,2676048470.3569503,4532923,14248.69616,1369464111.693496,0.021417849900725594,2024.7599999999948,1.0320604259502923,0.5117486199757911,94654.46,,
2025-01-15,2025-01-15 00:00:00+00:00,96560.85,100681.94,96500.0,100497.35,30509.99179,3006242382.8867946,3487945,15494.17873,1527728226.3083327,0.04076693186038316,3936.4900000000052,1.0433361658031088,0.5081853130023755,95431.13714285716,,
2025-01-16,2025-01-16 00:00:00+00:00,100497.35,100866.66,97335.13,99987.3,27832.85317,2765162040.639799,3762755,13513.53707,1342462621.6273284,-0.005075258203325772,-510.0500000000029,1.036282172736606,0.4854914836443767,96493.25285714286,,
2025-01-17,2025-01-17 00:00:00+00:00,99987.3,105865.22,99950.77,104077.48,39171.85292,4040993985.475047,3886907,20673.213,2131223293.2048464,0.04090699518838892,4090.179999999993,1.0591736311786293,0.5274007585424075,97829.16285714286,,
2025-01-18,2025-01-18 00:00:00+00:00,104077.47,104988.88,102277.55,104556.23,24307.82998,2521522119.379525,3403162,11607.51274,1204170928.374812,0.0045999384304846735,478.75,1.0265095321505062,0.4775571545139267,99251.48285714285,,
2025-01-19,2025-01-19 00:00:00+00:00,104556.23,106422.43,99651.6,101331.57,43397.28298,4513423971.410252,5271920,21079.51082,2193270771.0019445,-0.030841395103859304,-3224.659999999989,1.067945020451252,0.4859438831572123,100220.9842857143,,
2025-01-20,2025-01-20 00:00:00+00:00,101331.57,109588.0,99550.0,102260.01,89529.231732,9398787064.320717,11597937,44770.529492,4704453254.515383,0.009162396279856155,928.4399999999878,1.1008337518834757,0.5005383378004414,101324.40000000001,,
2025-01-21,2025-01-21 00:00:00+00:00,102260.0,107240.81,100119.04,106143.82,45941.02002,4768512258.156501,6842980,23227.02741,2411854258.5127187,0.03797975376689289,3883.810000000012,1.0711330232491243,0.5057875764893467,102693.39428571428,,
2025-01-22,2025-01-22 00:00:00+00:00,106143.82,106394.46,103339.12,103706.66,22248.69254,2331144640.658579,4364035,10501.59306,1100173331.9876585,-0.022960922265658046,-2437.1600000000035,1.0295661507471712,0.471945546749448,103151.86714285714,,
2025-01-23,2025-01-23 00:00:00+00:00,103706.66,106850.0,101262.28,103910.34,53953.12031,5610760848.131639,6961383,27045.92646,2813824950.5718837,0.0019640011547956693,203.67999999999302,1.0551806654955824,0.5015050590703535,103712.30142857145,,
2025-01-24,2025-01-24 00:00:00+00:00,103910.35,107120.0,102750.0,104870.5,23609.24017,2483818574.373748,4798886,11893.4605,1251601023.3484685,0.009240273874573157,960.1600000000035,1.0425304136253042,0.5039019501108443,103825.59,98164.81466666666,
2025-01-25,2025-01-25 00:00:00+00:00,104870.51,105286.52,104106.09,104746.85,9068.32377,949511531.3578016,1770765,4462.60438,467284996.37609667,-0.0011790732379457491,-123.64999999999418,1.0113387218749643,0.49213198675731623,103852.82142857143,98463.323,
2025-01-26,2025-01-26 00:00:00+00:00,104746.86,105500.0,102520.44,102620.0,9812.51238,1024352365.4715524,1813011,4642.17247,484871090.3361497,-0.020304667873067395,-2126.850000000006,1.0290630824448275,0.4733440432023049,104036.88285714286,98740.68866666667,
2025-01-27,2025-01-27 00:00:00+00:00,102620.01,103260.0,97777.77,102082.83,50758.1341,5092886322.829244,9368910,23529.22433,2361569760.8418937,-0.0052345546677060595,-537.1699999999983,1.056068265823612,0.4636996805241815,104011.57142857143,98966.78300000001,
2025-01-28,2025-01-28 00:00:00+00:00,102082.83,103800.0,100272.68,101335.52,22022.05765,2253977324.0362086,5428644,10756.64741,1101357650.2919877,-0.0073206238502596666,-747.3099999999977,1.0351772785967226,0.48862854055682375,103324.67142857143,99220.027,
2025-01-29,2025-01-29 00:00:00+00:00,101335.52,104782.68,101328.01,103733.24,23155.35802,2380383694.772136,5189699,11675.17182,1200636637.8143668,0.023661199942527578,2397.720000000001,1.0340939292106892,0.5043878600123324,103328.46857142857,99584.73333333334,
2025-01-30,2025-01-30 00:00:00+00:00,103733.25,106457.44,103278.54,104722.94,19374.07472,2038112603.5126407,3990075,10140.92834,1066933244.9920208,0.00954081835292131,989.6999999999971,1.0307798696612094,0.5234908233986609,103444.55428571429,99956.298,
2025-01-31,2025-01-31 00:00:00+00:00,104722.94,106012.0,101560.0,102429.56,21983.18193,2282174002.1952176,4331904,10697.39968,1111485874.1292844,-0.021899499765762886,-2293.3800000000047,1.043836155966916,0.4870294171523069,103095.84857142856,100217.557,
2025-02-01,2025-02-01 00:00:00+00:00,102429.56,102783.71,100279.51,100635.65,12290.95747,1250354228.2372296,2588786,5625.89331,572540016.1490111,-0.01751359666096397,-1793.9100000000035,1.0249722002032122,0.4579022513933413,102508.53428571428,100339.25233333334,
2025-02-02,2025-02-02 00:00:00+00:00,100635.66,101456.6,96150.0,97700.59,34619.49939,3412084312.583628,7202339,15587.16669,1536076091.303013,-0.029165211334154395,-2935.0599999999977,1.0551908476339054,0.4501870266329665,101805.76142857142,100323.466,
2025-02-03,2025-02-03 00:00:00+00:00,97700.59,102500.01,91231.0,101328.52,75164.7385,7228589180.71162,10625262,36736.56946,3537845694.4812655,0.03713314320824468,3627.9300000000076,1.1235217195909284,0.4894240917607357,101698.00285714286,100427.06666666667,
2025-02-04,2025-02-04 00:00:00+00:00,101328.51,101732.31,96150.0,97763.13,40267.98697,3989698644.2649302,6618911,19091.58154,1891457194.3598328,-0.03518644109279401,-3565.3899999999994,1.0580583463338533,0.4740852287374498,101187.66142857143,100407.05066666666,
2025-02-05,2025-02-05 00:00:00+00:00,97763.14,99149.0,96155.0,96612.43,26233.30444,2562342153.829685,4471763,11032.55174,1078316288.1425588,-0.011770285996367091,-1150.7000000000116,1.0311372263532839,0.4208322789877627,100170.40285714286,100219.61166666666,
2025-02-06,2025-02-06 00:00:00+00:00,96612.44,99120.0,95676.64,96554.35,23515.20405,2289071921.21756,4242807,11261.53049,1096611639.3760087,-0.0006011648811647952,-58.079999999987194,1.0359895581617415,0.47906386392294736,99003.46142857142,100206.26966666666,
