date,txn_volume,txn_shares
2025-12-15 09:05:08.376000+00:00,89.92045,0.001
2025-12-15 09:26:24.875000+00:00,89.9162,0.001
2025-12-15 09:28:00.494000+00:00,89.91674,0.001
2025-12-15 09:40:28.449000+00:00,89.86376,0.001
2025-12-15 09:41:27.562000+00:00,89.86505,0.001
2025-12-15 09:44:18.988000+00:00,89.85508,0.001
