date,returns
2025-01-03,0.14626503193541507
2025-01-04,0.0004718144831972193
2025-01-05,0.0014570278098766654
2025-01-06,0.039364049367443865
2025-01-07,-0.05165509861535511
2025-01-08,-0.01953491432743637
2025-01-09,-0.026384429891623817
2025-01-10,0.02348526765730452
2025-01-11,-0.0013314174940783907
2025-01-12,-0.0005806554525007446
2025-01-13,-9.476962625010188e-05
2025-01-14,0.021417849900725816
2025-01-15,0.04076693186038316
2025-01-16,-0.005075258203325772
2025-01-17,0.04090699518838892
2025-01-18,0.0045999384304846735
2025-01-19,-0.030841395103859304
2025-01-20,0.009162396279856155
2025-01-21,0.03797975376689289
2025-01-22,-0.022960922265658046
2025-01-23,0.0019640011547956693
2025-01-24,0.009240273874572935
2025-01-25,-0.0011790732379457491
2025-01-26,-0.020304667873067395
2025-01-27,-0.0052345546677060595
2025-01-28,-0.0073206238502596666
2025-01-29,0.023661199942527578
2025-01-30,0.00954081835292131
2025-01-31,-0.021899499765762998
2025-02-01,-0.01751359666096397
2025-02-02,-0.029165211334154395
2025-02-03,0.03713314320824468
2025-02-04,-0.03518644109279401
2025-02-05,-0.011770285996367091
2025-02-06,-0.0006011648811646841
2025-02-07,-0.0004924687494659574
2025-02-08,-0.0006430634939714741
2025-02-09,0.00018673905907151678
2025-02-10,0.010035687350816946
2025-02-11,-0.016961983897908373
2025-02-12,0.021839938524633062
2025-02-13,-0.012893124848587512
2025-02-14,0.009236695789816451
2025-02-15,0.0007095349684433927
2025-02-16,-0.014876960727340904
2025-02-17,-0.0035177550289164916
2025-02-18,-0.0011302986009604776
2025-02-19,0.01016632497746972
2025-02-20,0.017182894357943512
2025-02-21,-0.02159625654849706
2025-02-22,0.0038367893861199764
2025-02-23,-0.00303476887502252
2025-02-24,-0.04888030085811046
2025-02-25,-0.0313750916410277
2025-02-26,-0.04995816437454037
2025-02-27,0.005442011990729023
2025-02-28,-0.0042338096093690325
2025-03-01,0.02032710396711601
2025-03-02,0.0953409029248169
2025-03-03,-0.08538654927336375
2025-03-04,0.012309933784973248
2025-03-05,0.038083806073143656
2025-03-06,-0.007440124556858829
2025-03-07,-0.034805673493573774
2025-03-08,-0.006673828580645025
2025-03-09,-0.0636502442229373
2025-03-10,-0.02648822304552556
2025-03-11,0.055182677560879245
2025-03-12,0.009008839546240877
2025-03-13,-0.030644554525017353
2025-03-14,0.03534971863674352
2025-03-15,0.004229893597767154
2025-03-16,-0.020914662400679962
2025-03-17,0.01738429513313622
2025-03-18,-0.015414826063030906
2025-03-19,0.04994146771149088
2025-03-20,-0.030197727147636355
2025-03-21,-0.0015981308755205204
2025-03-22,-0.0029516419489447054
2025-03-23,0.02674015056430301
2025-03-24,0.01644538669299811
2025-03-25,-0.0012033395902270039
2025-03-26,-0.005534776464029556
2025-03-27,0.003714682811951864
2025-03-28,-0.0321857767578666
2025-03-29,-0.02103468216171689
2025-03-30,-0.0031283069247197703
2025-03-31,0.0019422262340362817
2025-04-01,0.0315969677047887
2025-04-02,-0.0310251468030025
2025-04-03,0.008444393222235336
2025-04-04,0.008234243388758333
2025-04-05,-0.004194460912902764
2025-04-06,-0.06114445369372923
2025-04-07,0.009348768447876799
2025-04-08,-0.0358848151850476
2025-04-09,0.08244835651187965
2025-04-10,-0.03640802912974006
2025-04-11,0.047941049203554575
2025-04-12,0.022212137077120886
2025-04-13,-0.017787576529075033
2025-04-14,0.009927923979864417
2025-04-15,-0.011201714404306173
2025-04-16,0.6623628392901022
2025-04-17,0.00015851094887486816
2025-04-18,-8.173973942793289e-05
2025-04-19,0.00010404780971429162
2025-04-20,1.7657891097311307e-05
2025-04-21,0.0030697104177230816
2025-04-22,0.067721182588518
2025-04-23,0.0026549637306105822
2025-04-24,0.0030887399484382794
2025-04-25,0.00700362599670723
2025-04-26,-0.00011284925291910053
2025-04-27,-0.009285751873306936
2025-04-28,0.013460032124395838
2025-04-29,-0.007939626361939567
2025-04-30,0.9177563811469149
2025-05-01,0.05166175470767276
2025-05-02,0.004116714776970287
2025-05-03,-0.010638128811673364
2025-05-04,-0.016470109634199814
2025-05-05,0.004837308575265542
2025-05-06,0.048130170678648776
2025-05-07,0.002029017439147962
2025-05-08,0.0642172720934322
2025-05-09,0.30921119083333526
2025-05-10,0.013592017392364708
2025-05-11,-0.005046554453726038
2025-05-12,-0.00973077341831241
2025-05-13,-0.004687190887117887
2025-05-14,-4.439964656932638e-06
2025-05-15,1.9066078209561965e-06
2025-05-16,-2.2338465783811046e-06
2025-05-17,-2.5128129196305693e-06
2025-05-18,2.4793721011384662e-05
2025-05-19,-6.560512186837286e-06
2025-05-20,9.509049889944166e-06
2025-05-21,2.081726366687242e-05
2025-05-22,1.529016303281061e-05
2025-05-23,-3.261732862558375e-05
2025-05-24,3.3051947434525886e-06
2025-05-25,9.255796205920319e-06
2025-05-26,3.2082211396389226e-06
2025-05-27,-3.7000967737510493e-06
2025-05-28,-8.61578418109854e-06
2025-05-29,-1.6332050707945633e-05
2025-05-30,-1.1953051241464507e-05
2025-05-31,4.518202617598277e-06
2025-06-01,7.831192950336074e-06
2025-06-02,1.6023625584171697e-06
2025-06-03,-3.5845596183525785e-06
2025-06-04,-5.06675704670112e-06
2025-06-05,-2.3754562781141964e-05
2025-06-06,2.0711989923816176e-05
2025-06-07,9.415707357351977e-06
2025-06-08,1.3549234088028328e-06
2025-06-09,3.374466264993714e-05
2025-06-10,8.47123369229763e-08
2025-06-11,-1.213889686235703e-05
2025-06-12,-2.2153548941750145e-05
2025-06-13,2.9420103413446697e-06
