,BTC,cash
2025-11-15 09:44:22.974237+00:00,539.3372800000001,0.0
2025-11-16 09:44:22.974237+00:00,539.3372800000001,0.0
2025-11-17 09:44:22.974237+00:00,539.3372800000001,0.0
2025-11-18 09:44:22.974237+00:00,539.3372800000001,0.0
2025-11-19 09:44:22.974237+00:00,539.3372800000001,0.0
2025-11-20 09:44:22.974237+00:00,539.3372800000001,0.0
2025-11-21 09:44:22.974237+00:00,539.3372800000001,0.0
2025-11-22 09:44:22.974237+00:00,539.3372800000001,0.0
2025-11-23 09:44:22.974237+00:00,539.3372800000001,0.0
2025-11-24 09:44:22.974237+00:00,539.3372800000001,0.0
2025-11-25 09:44:22.974237+00:00,539.3372800000001,0.0
2025-11-26 09:44:22.974237+00:00,539.3372800000001,0.0
2025-11-27 09:44:22.974237+00:00,539.3372800000001,0.0
2025-11-28 09:44:22.974237+00:00,539.3372800000001,0.0
2025-11-29 09:44:22.974237+00:00,539.3372800000001,0.0
2025-11-30 09:44:22.974237+00:00,539.3372800000001,0.0
2025-12-01 09:44:22.974237+00:00,539.3372800000001,0.0
2025-12-02 09:44:22.974237+00:00,539.3372800000001,0.0
2025-12-03 09:44:22.974237+00:00,539.3372800000001,0.0
2025-12-04 09:44:22.974237+00:00,539.3372800000001,0.0
2025-12-05 09:44:22.974237+00:00,539.3372800000001,0.0
2025-12-06 09:44:22.974237+00:00,539.3372800000001,0.0
2025-12-07 09:44:22.974237+00:00,539.3372800000001,0.0
2025-12-08 09:44:22.974237+00:00,539.3372800000001,0.0
2025-12-09 09:44:22.974237+00:00,539.3372800000001,0.0
2025-12-10 09:44:22.974237+00:00,539.3372800000001,0.0
2025-12-11 09:44:22.974237+00:00,539.3372800000001,0.0
2025-12-12 09:44:22.974237+00:00,539.3372800000001,0.0
2025-12-13 09:44:22.974237+00:00,539.3372800000001,0.0
2025-12-14 09:44:22.974237+00:00,539.3372800000001,0.0
2025-12-15 09:44:22.974237+00:00,539.3372800000001,0.0
