,cash,BTC
2025-04-04 00:00:00+00:00,8752.878317699991,1262.5425435000009
2025-04-05 00:00:00+00:00,8752.878317699991,1257.246749500001
2025-04-06 00:00:00+00:00,8752.878317699991,1180.3715000000009
2025-04-07 00:00:00+00:00,8752.878317699991,1191.406762000001
2025-04-08 00:00:00+00:00,8752.878317699991,1148.652421000001
2025-04-09 00:00:00+00:00,8752.878317699991,1243.359061000001
2025-04-10 00:00:00+00:00,8752.878317699991,1198.089865000001
2025-04-11 00:00:00+00:00,8752.878317699991,1255.528792000001
2025-04-12 00:00:00+00:00,8752.878317699991,1283.417345000001
2025-04-13 00:00:00+00:00,8752.878317699991,1260.5880000000009
2025-04-14 00:00:00+00:00,8752.878317699991,1273.103279000001
2025-04-15 00:00:00+00:00,8752.878317699991,1258.842049500001
2025-04-16 00:00:00+00:00,8752.878317699991,1264.657219000001
2025-04-17 00:00:00+00:00,8752.878317699991,1278.466045500001
2025-04-18 00:00:00+00:00,8752.878317699991,1271.344084500001
2025-04-19 00:00:00+00:00,8752.878317699991,1280.409000500001
2025-04-20 00:00:00+00:00,8752.878317699991,1281.947562000001
2025-04-21 00:00:00+00:00,0.0,87399.8334141
2025-04-22 00:00:00+00:00,0.0,93318.7108233
2025-04-23 00:00:00+00:00,0.0,93566.4708636
2025-04-24 00:00:00+00:00,0.0,93855.4759749
2025-04-25 00:00:00+00:00,0.0,94512.8105556
2025-04-26 00:00:00+00:00,0.0,94502.14476
2025-04-27 00:00:00+00:00,0.0,93624.61343099999
2025-04-28 00:00:00+00:00,0.0,94884.81513059999
2025-04-29 00:00:00+00:00,0.0,94131.45842940001
2025-04-30 00:00:00+00:00,0.0,94046.75124
2025-05-01 00:00:00+00:00,0.0,189844.8628241
2025-05-02 00:00:00+00:00,0.0,190626.4168214
2025-05-03 00:00:00+00:00,0.0,188598.4649142
2025-05-04 00:00:00+00:00,0.0,185492.1601262
2025-05-05 00:00:00+00:00,0.0,186389.4627368
2025-05-06 00:00:00+00:00,0.0,195362.63534999997
2025-05-07 00:00:00+00:00,0.0,195759.03374999997
2025-05-08 00:00:00+00:00,0.0,208330.27799999996
2025-05-09 00:00:00+00:00,0.0,207745.98982499997
2025-05-10 00:00:00+00:00,0.0,211453.22677499996
2025-05-11 00:00:00+00:00,0.0,210058.06499999997
2025-05-12 00:00:00+00:00,0.0,207381.4881
2025-05-13 00:00:00+00:00,205894.4708613,210.2895144001807
2025-05-14 00:00:00+00:00,205894.4708613,209.08579640017967
2025-05-15 00:00:00+00:00,205894.4708613,209.6026942001801
2025-05-16 00:00:00+00:00,205894.4708613,208.99707800017956
2025-05-17 00:00:00+00:00,205894.4708613,208.315833000179
2025-05-18 00:00:00+00:00,205894.4708613,215.03760520018477
2025-05-19 00:00:00+00:00,205894.4708613,213.25895480018326
2025-05-20 00:00:00+00:00,205894.4708613,215.83697980018547
2025-05-21 00:00:00+00:00,205894.4708613,221.48085980019033
