date,txn_volume,txn_shares
2025-05-13 01:38:44.817000+00:00,-66.436734,-0.00065
2025-05-13 01:38:44.817000+00:00,-3036.6697956,-0.02971
2025-05-13 01:38:44.817000+00:00,-14.3094504,-0.00014
2025-05-13 01:38:44.817000+00:00,-6.1326216,-6e-05
2025-05-13 01:38:44.817000+00:00,-6.1326216,-6e-05
2025-05-13 01:38:44.817000+00:00,-6.1326216,-6e-05
2025-05-13 01:38:44.817000+00:00,-6.1326216,-6e-05
2025-05-13 01:38:44.817000+00:00,-45.994662,-0.00045
2025-05-13 01:38:44.817000+00:00,-44.9725584,-0.00044
2025-05-13 01:38:44.817000+00:00,-19995.4127268,-0.19563
2025-05-13 01:38:44.817000+00:00,-5.110518,-5e-05
2025-05-13 01:38:44.817000+00:00,-5.110518,-5e-05
2025-05-13 01:38:44.817000+00:00,-6.1326216,-6e-05
2025-05-13 01:38:44.817000+00:00,-6.1326216,-6e-05
2025-05-13 01:38:44.817000+00:00,-6.1326216,-6e-05
2025-05-13 01:38:44.817000+00:00,-45.994662,-0.00045
2025-05-13 01:38:44.817000+00:00,-6.1326216,-6e-05
2025-05-13 01:38:44.817000+00:00,-6.1326216,-6e-05
2025-05-13 01:38:44.817000+00:00,-430.3056156,-0.00421
2025-05-13 01:38:44.817000+00:00,-103.2324636,-0.00101
2025-05-13 01:38:44.817000+00:00,-6.1326216,-6e-05
2025-05-13 01:38:44.817000+00:00,-6.1326216,-6e-05
2025-05-13 01:38:44.817000+00:00,-6.1326216,-6e-05
2025-05-13 01:38:44.817000+00:00,-6.1326216,-6e-05
2025-05-13 01:38:44.817000+00:00,-6.1326216,-6e-05
2025-05-13 01:38:44.817000+00:00,-377.1562284,-0.00369
2025-05-13 01:38:44.817000+00:00,-6.1326216,-6e-05
2025-05-13 01:38:44.817000+00:00,-27.5967972,-0.00027
2025-05-13 01:38:44.817000+00:00,-6.1326216,-6e-05
2025-05-13 01:38:44.817000+00:00,-6.1326216,-6e-05
2025-05-13 01:38:44.817000+00:00,-6.1326216,-6e-05
2025-05-13 01:38:44.817000+00:00,-15118.9564512,-0.14792
2025-05-13 01:38:44.817000+00:00,-227.9291028,-0.00223
2025-05-13 01:38:44.817000+00:00,-6.1326216,-6e-05
2025-05-13 01:38:44.817000+00:00,-3096.973908,-0.0303
2025-05-13 01:38:44.817000+00:00,-224.862792,-0.0022
2025-05-13 01:38:44.817000+00:00,-6.1326216,-6e-05
2025-05-13 01:38:44.817000+00:00,-10.221036,-0.0001
2025-05-13 01:38:44.817000+00:00,-10.221036,-0.0001
2025-05-13 01:38:44.817000+00:00,-5.110518,-5e-05
2025-05-13 01:38:44.817000+00:00,-5.110518,-5e-05
2025-05-13 01:38:44.817000+00:00,-6.1326216,-6e-05
2025-05-13 01:38:44.817000+00:00,-6.1326216,-6e-05
2025-05-13 01:38:44.817000+00:00,-5.110518,-5e-05
2025-05-13 01:38:44.817000+00:00,-5.110518,-5e-05
2025-05-13 01:38:44.817000+00:00,-5.110518,-5e-05
2025-05-13 01:38:44.817000+00:00,-5.110518,-5e-05
2025-05-13 01:38:44.817000+00:00,-5.110518,-5e-05
2025-05-13 01:38:44.817000+00:00,-5.110518,-5e-05
2025-05-13 01:38:44.817000+00:00,-5.110518,-5e-05
2025-05-13 01:38:44.817000+00:00,-5.110518,-5e-05
2025-05-13 01:39:00.161000+00:00,-99.1440492,-0.00097
2025-05-13 01:39:00.679000+00:00,-99.1440492,-0.00097
2025-05-13 01:39:00.694000+00:00,-43.9504548,-0.00043
2025-05-13 01:39:01.252000+00:00,-221.7964812,-0.00217
2025-05-13 01:39:01.434000+00:00,-99.1440492,-0.00097
2025-05-13 01:39:01.582000+00:00,-811.5502584,-0.00794
2025-05-13 01:39:01.673000+00:00,-20.442072,-0.0002
2025-05-13 01:39:01.896000+00:00,-99.1440492,-0.00097
2025-05-13 01:39:02.192000+00:00,-292.3216296,-0.00286
2025-05-13 01:39:02.425000+00:00,-10.221036,-0.0001
2025-05-13 01:39:02.587000+00:00,-99.1440492,-0.00097
2025-05-13 01:39:02.922000+00:00,-667.4336508,-0.00653
